MUNICIPI;LOCALS EN QUE SE CELEBRA LA VOTACIÓ;DIRECCIÓ
BARCELONA;ESCOLA SALESIANS DE SANT JOSEP (ROCAFORT);C ROCAFORT NUM: 42,08015 BARCELONA
BARCELONA;CENTRE CIVIC COTXERES BORRELL;C VILADOMAT NUM: 2,08015 BARCELONA
BARCELONA;ESCOLA SALESIANS DE SANT JOSEP (ROCAFORT);C ROCAFORT NUM: 42,08015 BARCELONA
BARCELONA;ESPAI VEINAL CALABRIA 66;C CALABRIA NUM: 66,08015 BARCELONA
BARCELONA;CEIP DIPUTACIO;C DIPUTACIO NUM: 114,08015 BARCELONA
BARCELONA;ESPAI VEINAL CALABRIA 66;C CALABRIA NUM: 66,08015 BARCELONA
BARCELONA;UNIVERSITAT DE BARCELONA;G.V. CORTS CATALANES NUM: 585,08007 BARCELONA
BARCELONA;IES LLUISA CURA;RONDA SANT ANTONI NUM: 19,08011 BARCELONA
BARCELONA;BIBLIOTECA JOAN OLIVER;C COMTE BORRELL NUM: 44,08015 BARCELONA
BARCELONA;CENTRE CIVIC COTXERES BORRELL;C VILADOMAT NUM: 2,08015 BARCELONA
BARCELONA;INSTITUT DEL TEATRE;C FRANÇA XICA NUM: 17,08004 BARCELONA
BARCELONA;FUNDACIO ANNA RAVELL;C ANNIBAL NUM: 16,08004 BARCELONA
BARCELONA;CENTRE CIVIC EL SORTIDOR;PL SORTIDOR (DEL) NUM: 12,08004 BARCELONA
BARCELONA;CEIP COLLASO I GIL;C SANT PAU NUM: 101,08001 BARCELONA
BARCELONA;CENTRE CIVIC EL SORTIDOR;PL SORTIDOR (DEL) NUM: 12,08004 BARCELONA
BARCELONA;IES CONSELL DE CENT;C CARRERA NUM: 25,08004 BARCELONA
BARCELONA;CENTRE CIVIC EL SORTIDOR;PL SORTIDOR (DEL) NUM: 12,08004 BARCELONA
BARCELONA;CEIP BARKENO;C CISELL NUM: 15,08038 BARCELONA
BARCELONA;CEIP SEAT;C MECANICA NUM: 24,08038 BARCELONA
BARCELONA;CENTRE PEPITA CASANELLAS;PG ZONA FRANCA NUM: 185,08038 BARCELONA
BARCELONA;CEIP SEAT;C MECANICA NUM: 24,08038 BARCELONA
BARCELONA;ESPAI MUSICAL LA BASCULA;C FOC NUM: 128,08038 BARCELONA
BARCELONA;CEIP BARKENO;C CISELL NUM: 15,08038 BARCELONA
BARCELONA;ESPAI MUSICAL LA BASCULA;C FOC NUM: 128,08038 BARCELONA
BARCELONA;CENTRE PEPITA CASANELLAS;PG ZONA FRANCA NUM: 185,08038 BARCELONA
BARCELONA;CENTRE CIVIC LA CADENA;C MARE DE DEU DE PORT NUM: 397,08038 BARCELONA
BARCELONA;ESPAI MUSICAL LA BASCULA;C FOC NUM: 128,08038 BARCELONA
BARCELONA;ESPAI GENT GRAN DEL POLVORI;C GUADALQUIVIR NUM: 2,08038 BARCELONA
BARCELONA;CENTRE CIVIC FONT DE LA GUATLLA;C RABI RUBEN NUM: 22,08004 BARCELONA
BARCELONA;CEIP FRANCESC MACIA;G.V. CORTS CATALANES NUM: 371,08014 BARCELONA
BARCELONA;CENTRE CIVIC CASINET D'HOSTAFRANCS;C RECTOR TRIADO NUM: 53,08014 BARCELONA
BARCELONA;ESCOLA JOAN PELEGRÍ;C ERMENGARDA NUM: 11,08014 BARCELONA
BARCELONA;CEIP GAYARRE;C GAIARRE NUM: 54,08014 BARCELONA
BARCELONA;IES JOAN COROMINES;CTRA BORDETA NUM: 39,08014 BARCELONA
BARCELONA;CEIP FRANCESC MACIA;G.V. CORTS CATALANES NUM: 371,08014 BARCELONA
BARCELONA;IES JOAN COROMINES;CTRA BORDETA NUM: 39,08014 BARCELONA
BARCELONA;CEIP GAYARRE;C GAIARRE NUM: 54,08014 BARCELONA
BARCELONA;ESCOLA PROA (GAVA);C GAVA NUM: 50,08014 BARCELONA
BARCELONA;ESCOLA CAL MAIOL;C SAGUNT NUM: 92,08014 BARCELONA
BARCELONA;ESCOLA PROA (GAVA);C GAVA NUM: 50,08014 BARCELONA
BARCELONA;CEIP CAVALL BERNAT;RBLA BADAL (DE) NUM: 113,08014 BARCELONA
BARCELONA;CLUB ESPORTIU MEDITERRANI;C BEGUR NUM: 44,08028 BARCELONA
BARCELONA;ESCOLA JOSEP TOUS;C BEGUR NUM: 12,08028 BARCELONA
BARCELONA;CLUB ESPORTIU MEDITERRANI;C BEGUR NUM: 44,08028 BARCELONA
BARCELONA;ESCOLA JOSEP TOUS;C BEGUR NUM: 12,08028 BARCELONA
BARCELONA;ESPAI JOVES BACARDI;TRAV CORTS NUM: 94,08028 BARCELONA
BARCELONA;C.C. JOAN OLIVER (PERE QUART);C COMANDANT BENITEZ NUM: 6,08028 BARCELONA
BARCELONA;CASAL DE SANTS;C VIOLANT D'HONGRIA, REINA D'ARAGO (DE) NUM: 135,08028 BARCELONA
BARCELONA;CENTRE CIVIC COTXERES (AUDITORI);C SANTS NUM: 79,08014 BARCELONA
BARCELONA;CASAL DE SANTS;C VIOLANT D'HONGRIA, REINA D'ARAGO (DE) NUM: 135,08028 BARCELONA
BARCELONA;ASSOCIACIO VEINS BADAL-BRASIL;C DAOIZ I VELARDE NUM: 30,08028 BARCELONA
BARCELONA;CEIP CAVALL BERNAT;RBLA BADAL (DE) NUM: 113,08014 BARCELONA
BARCELONA;ESCOLA CAL MAIOL;C SAGUNT NUM: 92,08014 BARCELONA
BARCELONA;CENTRE CIVIC COTXERES (AUDITORI);C SANTS NUM: 79,08014 BARCELONA
BARCELONA;CEIP GAYARRE;C GAIARRE NUM: 54,08014 BARCELONA
BARCELONA;CENTRE CIVIC COTXERES (AUDITORI);C SANTS NUM: 79,08014 BARCELONA
BARCELONA;ESCOLA JOAN PELEGRÍ;C ERMENGARDA NUM: 11,08014 BARCELONA
BARCELONA;ESCOLA JAUME I;C COMTES DE BELL-LLOC (DELS) NUM: 86,08014 BARCELONA
BARCELONA;CENTRE CIVIC COTXERES (AUDITORI);C SANTS NUM: 79,08014 BARCELONA
BARCELONA;ESCOLA JAUME I;C COMTES DE BELL-LLOC (DELS) NUM: 86,08014 BARCELONA
BARCELONA;IES EMPERADOR CARLES;C ENRIC BARGES NUM: 9,08014 BARCELONA
BARCELONA;ESPAI MUSICAL LA BASCULA;C FOC NUM: 128,08038 BARCELONA
BARCELONA;CENTRE PEPITA CASANELLAS;PG ZONA FRANCA NUM: 185,08038 BARCELONA
BARCELONA;RESIDENCIA CASAL DE LES CORTS;C MONTNEGRE NUM: 33,08029 BARCELONA
BARCELONA;CEIP DURAN I BAS;C VALLESPIR NUM: 198,08014 BARCELONA
BARCELONA;ESCOLA PRACTIQUES;C GUITARD NUM: 8,08014 BARCELONA
BARCELONA;ESCOLA BARCELONA;C JOAN GUELL NUM: 126,08028 BARCELONA
BARCELONA;CEIP DURAN I BAS;C VALLESPIR NUM: 198,08014 BARCELONA
BARCELONA;CEIP ITACA;C NUMANCIA NUM: 140,08029 BARCELONA
BARCELONA;RESIDENCIA CASAL DE LES CORTS;C MONTNEGRE NUM: 33,08029 BARCELONA
BARCELONA;ESCOLA PARE MANYANET;TRAV CORTS NUM: 331,08029 BARCELONA
BARCELONA;CEIP ITACA;C NUMANCIA NUM: 140,08029 BARCELONA
BARCELONA;CEIP DURAN I BAS;C VALLESPIR NUM: 198,08014 BARCELONA
BARCELONA;CEIP ITACA;C NUMANCIA NUM: 140,08029 BARCELONA
BARCELONA;ESCOLA AUSIAS MARC;PL COMAS NUM: 9,08028 BARCELONA
BARCELONA;ESCOLA BARCELONA;C JOAN GUELL NUM: 126,08028 BARCELONA
BARCELONA;CEIP LAVINIA;C FIGOLS NUM: 20,08028 BARCELONA
BARCELONA;INSTITUT LES CORTS;TRAV CORTS NUM: 131,08028 BARCELONA
BARCELONA;C.C. JOAN OLIVER (PERE QUART);C COMANDANT BENITEZ NUM: 6,08028 BARCELONA
BARCELONA;ESPAI JOVES BACARDI;TRAV CORTS NUM: 94,08028 BARCELONA
BARCELONA;CENTRE CIVIC JOSEP MARIA TRIAS I PEITX;RIERA BLANCA NUM: 1,08028 BARCELONA
BARCELONA;CEIP PAU ROMEVA;C PISUERGA NUM: 1,08028 BARCELONA
BARCELONA;INSTITUT LES CORTS;TRAV CORTS NUM: 131,08028 BARCELONA
BARCELONA;FACULTAD DE DRET;AV PEDRALBES NUM: 5,08034 BARCELONA
BARCELONA;IES JOAN BOSCA;AV ESPLUGUES NUM: 40,08034 BARCELONA
BARCELONA;FACULTAD DE DRET;AV PEDRALBES NUM: 5,08034 BARCELONA
BARCELONA;IES JOAN BOSCA;AV ESPLUGUES NUM: 40,08034 BARCELONA
BARCELONA;INSTITUT LES CORTS;TRAV CORTS NUM: 131,08028 BARCELONA
BARCELONA;CENTRE CIVIC ELECTRIC;CTRA VALLVIDRERA A LES PLANES NUM: 98,08017 BARCELONA
BARCELONA;CENTRE CIVIC VALLVIDRERA;C REIS CATOLICS NUM: 16,08017 BARCELONA
BARCELONA;CEIP DOLORS MONSERDA-SANTAPAU;AV VALLVIDRERA NUM: 9,08017 BARCELONA
BARCELONA;ESCOLA ORLANDAI;C DOMINGUEZ I MIRALLES NUM: 1,08034 BARCELONA
BARCELONA;ESCOLA SAGRAT COR (SARRIA);C SAGRAT COR NUM: 25,08034 BARCELONA
BARCELONA;CASAL D'AVIS CAN FABREGAS;PL PERE FIGUERA I SERRA NUM: 1,08017 BARCELONA
BARCELONA;ESCOLA SAGRAT COR (SARRIA);C SAGRAT COR NUM: 25,08034 BARCELONA
BARCELONA;ESCOLA ORLANDAI;C DOMINGUEZ I MIRALLES NUM: 1,08034 BARCELONA
BARCELONA;CASAL D'AVIS CAN FABREGAS;PL PERE FIGUERA I SERRA NUM: 1,08017 BARCELONA
BARCELONA;ESCOLA ORLANDAI;C DOMINGUEZ I MIRALLES NUM: 1,08034 BARCELONA
BARCELONA;CENTRE CIVIC CASAL DE SARRIA;C EDUARDO CONDE NUM: 22,08034 BARCELONA
BARCELONA;ESCOLA UNIV. SALESIANA SARRIA;PG SANT JOAN BOSCO NUM: 74,08017 BARCELONA
BARCELONA;ESCOLA SANTA DOROTEA;PG SANT JOAN BOSCO NUM: 24,08017 BARCELONA
BARCELONA;ESCOLA UNIV. SALESIANA SARRIA;PG SANT JOAN BOSCO NUM: 74,08017 BARCELONA
BARCELONA;AGENCIA DE RESIDUS DE CATALUNYA;C DOCTOR ROUX NUM: 80,08017 BARCELONA
BARCELONA;CASAL D'AVIS CAN FABREGAS;PL PERE FIGUERA I SERRA NUM: 1,08017 BARCELONA
BARCELONA;AGENCIA DE RESIDUS DE CATALUNYA;C DOCTOR ROUX NUM: 80,08017 BARCELONA
BARCELONA;CENTRE CIVIC PERE PRUNA;C GANDUXER NUM: 130,08022 BARCELONA
BARCELONA;ESCOLA LA SALLE BONANOVA;PG BONANOVA NUM: 8,08022 BARCELONA
BARCELONA;ESCOLA SIL;AV TIBIDABO NUM: 24,08022 BARCELONA
BARCELONA;CENTRE CIVIC VIL·LA FLORIDA;C MUNTANER NUM: 544,08022 BARCELONA
BARCELONA;ESCOLA LA SALLE BONANOVA;PG BONANOVA NUM: 8,08022 BARCELONA
BARCELONA;CENTRE CIVIC VIL·LA FLORIDA;C MUNTANER NUM: 544,08022 BARCELONA
BARCELONA;EAP SARRIA-SANT GERVASI;C BERTRAN NUM: 41,08023 BARCELONA
BARCELONA;ESCOLA LA SALLE BONANOVA;PG BONANOVA NUM: 8,08022 BARCELONA
BARCELONA;CENTRE CIVIC VIL·LA FLORIDA;C MUNTANER NUM: 544,08022 BARCELONA
BARCELONA;CENTRE CIVIC PERE PRUNA;C GANDUXER NUM: 130,08022 BARCELONA
BARCELONA;ESCOLA LA SALLE BONANOVA;PG BONANOVA NUM: 8,08022 BARCELONA
BARCELONA;CENTRE CIVIC PERE PRUNA;C GANDUXER NUM: 130,08022 BARCELONA
BARCELONA;CASAL D'AVIS CAN CASTELLO;C CASTELLO NUM: 7,08021 BARCELONA
BARCELONA;INSTITUCIO CULTURAL DEL CIC;VIA AUGUSTA NUM: 205,08021 BARCELONA
BARCELONA;ESCOLA AUGUSTA;C RECTOR UBACH NUM: 60,08021 BARCELONA
BARCELONA;INSTITUCIO CULTURAL DEL CIC;VIA AUGUSTA NUM: 205,08021 BARCELONA
BARCELONA;ESCOLA AUGUSTA;C RECTOR UBACH NUM: 60,08021 BARCELONA
BARCELONA;ESCOLA NAUSICA;C MUNTANER NUM: 309,08021 BARCELONA
BARCELONA;ESCOLA AUGUSTA;C RECTOR UBACH NUM: 60,08021 BARCELONA
BARCELONA;ESCOLA NAUSICA;C MUNTANER NUM: 309,08021 BARCELONA
BARCELONA;ESCOLA INFANT JESUS;TRAV GRACIA (DE) NUM: 55,08006 BARCELONA
BARCELONA;IES MENENDEZ PELAYO;VIA AUGUSTA NUM: 138,08006 BARCELONA
BARCELONA;ESCOLA NAUSICA;C MUNTANER NUM: 309,08021 BARCELONA
BARCELONA;IES MENENDEZ PELAYO;VIA AUGUSTA NUM: 138,08006 BARCELONA
BARCELONA;CENTRE CIVIC CASA SAGNIER;C BRUSI NUM: 51,08006 BARCELONA
BARCELONA;CEIP POETA FOIX;C BALMES NUM: 298,08006 BARCELONA
BARCELONA;ESCOLA OFICIAL D'IDIOMES;AV PRINCEP D'ASTURIES NUM: 23,08012 BARCELONA
BARCELONA;CEIP POETA FOIX;C BALMES NUM: 298,08006 BARCELONA
BARCELONA;EQUIPAMENT MUNICIPAL;C MANACOR NUM: 1,08023 BARCELONA
BARCELONA;IES JOSEP SERRAT I BONASTRE;C MARQUES DE SANTA ANA NUM: 4,08023 BARCELONA
BARCELONA;EQUIPAMENT MUNICIPAL;C MANACOR NUM: 1,08023 BARCELONA
BARCELONA;EAP SARRIA-SANT GERVASI;C BERTRAN NUM: 41,08023 BARCELONA
BARCELONA;CENTRE EDUCATIU PROJECTE;C MAS YEBRA NUM: 10,08022 BARCELONA
BARCELONA;ESPAI PUTXET;C MARMELLA NUM: 13,08023 BARCELONA
BARCELONA;ESCOLA RIUS I TAULET;PL LESSEPS NUM: 19,08023 BARCELONA
BARCELONA;CEIP LA FARIGOLA DE VALLCARCA;C SANT CAMIL NUM: 31,08023 BARCELONA
BARCELONA;CEIP PARE POVEDA;AV VALLCARCA (DE) NUM: 222,08023 BARCELONA
BARCELONA;ESCOLA SIL;AV TIBIDABO NUM: 24,08022 BARCELONA
BARCELONA;CASAL D'AVIS PENITENTS;PG VALL D'HEBRON NUM: 76,08023 BARCELONA
BARCELONA;CEIP PARE POVEDA;AV VALLCARCA (DE) NUM: 222,08023 BARCELONA
BARCELONA;CEIP LA FARIGOLA DE VALLCARCA;C SANT CAMIL NUM: 31,08023 BARCELONA
BARCELONA;CENTRE CIVIC DEL COLL;C DURAN I BORRELL NUM: 28,08023 BARCELONA
BARCELONA;CEIP TURO DEL CARGOL;C SANT CUGAT DEL VALLES NUM: 13,08024 BARCELONA
BARCELONA;ESCOLA RIUS I TAULET;PL LESSEPS NUM: 19,08023 BARCELONA
BARCELONA;CEIP TURO DEL CARGOL;C SANT CUGAT DEL VALLES NUM: 13,08024 BARCELONA
BARCELONA;ESPLAI SANLLEHY LA CAIXA;C VALLSECA NUM: 2,08024 BARCELONA
BARCELONA;CEIP PAU CASALS-GRACIA;C PROVIDENCIA NUM: 134,08024 BARCELONA
BARCELONA;LLUÏSOS DE GRÀCIA;PL NORD NUM: 7,08024 BARCELONA
BARCELONA;ESCOLA RIUS I TAULET;PL LESSEPS NUM: 19,08023 BARCELONA
BARCELONA;ESCOLA LA SALLE GRACIA;PL NORD NUM: 14,08024 BARCELONA
BARCELONA;CEIP PAU CASALS-GRACIA;C PROVIDENCIA NUM: 134,08024 BARCELONA
BARCELONA;LLUÏSOS DE GRÀCIA;PL NORD NUM: 7,08024 BARCELONA
BARCELONA;ESCOLA LA SALLE GRACIA;PL NORD NUM: 14,08024 BARCELONA
BARCELONA;ESCOLA REINA VIOLANT;C TRILLA NUM: 18,08012 BARCELONA
BARCELONA;ESPAI JOVE LA FONTANA;C GRAN DE GRACIA NUM: 190,08012 BARCELONA
BARCELONA;ESCOLA REINA VIOLANT;C TRILLA NUM: 18,08012 BARCELONA
BARCELONA;ESPAI JOVE LA FONTANA;C GRAN DE GRACIA NUM: 190,08012 BARCELONA
BARCELONA;CEIP JOSEP MARIA JUJOL;C RIERA DE SANT MIQUEL NUM: 39,08006 BARCELONA
BARCELONA;CENTRE ARTESA TRADICIONARIUS;C JAEN NUM: 17,08012 BARCELONA
BARCELONA;CASAL DE GRACIA;C SIRACUSA NUM: 23,08012 BARCELONA
BARCELONA;ESCOLA UNIVERS;C BAILEN NUM: 229,08037 BARCELONA
BARCELONA;INSTITUCIO CULTURAL DEL CIC-GRACIA;C TORRENT DE LES FLORS NUM: 68,08024 BARCELONA
BARCELONA;INSTITUT NAC. SEGURETAT SOCIAL;C SANT ANTONI MARIA CLARET NUM: 5,08037 BARCELONA
BARCELONA;CENTRE CIVIC LA SEDETA;C SICILIA NUM: 321,08025 BARCELONA
BARCELONA;INSTITUT NAC. SEGURETAT SOCIAL;C SANT ANTONI MARIA CLARET NUM: 5,08037 BARCELONA
BARCELONA;ESCOLA UNIVERS;C BAILEN NUM: 229,08037 BARCELONA
BARCELONA;IES LA SEDETA;C INDUSTRIA NUM: 67,08025 BARCELONA
BARCELONA;CENTRE CIVIC LA SEDETA;C SICILIA NUM: 321,08025 BARCELONA
BARCELONA;ESCOLA JOVELLANOS;C SARDENYA NUM: 420,08025 BARCELONA
BARCELONA;IES SECRETARI COLOMA;C SECRETARI COLOMA NUM: 25,08025 BARCELONA
BARCELONA;CEIP PAU CASALS-GRACIA;C PROVIDENCIA NUM: 134,08024 BARCELONA
BARCELONA;CASAL GENT GRAN BAIX GUINARDO;C MARINA NUM: 380,08025 BARCELONA
BARCELONA;IES PRINCEP DE GIRONA;TRAV GRACIA (DE) NUM: 357,08025 BARCELONA
BARCELONA;CASAL GENT GRAN BAIX GUINARDO;C MARINA NUM: 380,08025 BARCELONA
BARCELONA;CEIP MAS CASANOVAS;C MAS CASANOVAS NUM: 63,08025 BARCELONA
BARCELONA;BIBLIOTECA MERCE RODOREDA;C CAMELIES NUM: 76,08024 BARCELONA
BARCELONA;ESPLAI SANLLEHY LA CAIXA;C VALLSECA NUM: 2,08024 BARCELONA
BARCELONA;CASAL GENT GRAN BAIX GUINARDO;C MARINA NUM: 380,08025 BARCELONA
BARCELONA;ESPLAI SANLLEHY LA CAIXA;C VALLSECA NUM: 2,08024 BARCELONA
BARCELONA;CASAL DE BARRI PIRINEU;C JOSEP SERRANO NUM: 59,08024 BARCELONA
BARCELONA;ESCOLA OFICIAL D'IDIOMES GUINARDO;AV MARE DEU DE MONTSERRAT NUM: 78,08024 BARCELONA
BARCELONA;CEIP TORRENT D'EN MELIS;C VARSOVIA NUM: 161,08041 BARCELONA
BARCELONA;CASAL ENTITATS MAS GUINARDO;PL SALVADOR RIERA NUM: 2,08041 BARCELONA
BARCELONA;CEIP PIT ROIG;C AGUILAR NUM: 4,08032 BARCELONA
BARCELONA;CASAL ENTITATS MAS GUINARDO;PL SALVADOR RIERA NUM: 2,08041 BARCELONA
BARCELONA;CEIP TORRENT D'EN MELIS;C VARSOVIA NUM: 161,08041 BARCELONA
BARCELONA;CASAL ENTITATS MAS GUINARDO;PL SALVADOR RIERA NUM: 2,08041 BARCELONA
BARCELONA;ESCOLA GUINARDO;C RUBIO I ORS NUM: 31,08041 BARCELONA
BARCELONA;CASAL GENT GRAN DE NAVAS;C CAPELLA NUM: 14,08041 BARCELONA
BARCELONA;CASAL ENTITATS MAS GUINARDO;PL SALVADOR RIERA NUM: 2,08041 BARCELONA
BARCELONA;CEIP TORRENT D'EN MELIS;C VARSOVIA NUM: 161,08041 BARCELONA
BARCELONA;CASAL GENT GRAN DE NAVAS;C CAPELLA NUM: 14,08041 BARCELONA
BARCELONA;CASAL ENTITATS MAS GUINARDO;PL SALVADOR RIERA NUM: 2,08041 BARCELONA
BARCELONA;CASAL GENT GRAN DE NAVAS;C CAPELLA NUM: 14,08041 BARCELONA
BARCELONA;ESCOLA GUINARDO;C RUBIO I ORS NUM: 31,08041 BARCELONA
BARCELONA;CASAL DE BARRI CONGRES-INDIANS;C MANIGUA NUM: 25,08027 BARCELONA
BARCELONA;IES CARRASCO I FORMIGUERA;C SANTA FE NUM: 2,08031 BARCELONA
BARCELONA;CASAL DE BARRI CONGRES-INDIANS;C MANIGUA NUM: 25,08027 BARCELONA
BARCELONA;CEIP PIT ROIG;C AGUILAR NUM: 4,08032 BARCELONA
BARCELONA;CASAL FONT D'EN FARGAS;C PEDRELL NUM: 67,08032 BARCELONA
BARCELONA;CEIP TORRENT DE CAN CARABASSA;C LLOBREGOS NUM: 17,08032 BARCELONA
BARCELONA;CASAL FONT D'EN FARGAS;C PEDRELL NUM: 67,08032 BARCELONA
BARCELONA;CEIP TORRENT DE CAN CARABASSA;C LLOBREGOS NUM: 17,08032 BARCELONA
BARCELONA;ESPAI JOVE BOCA NORD;C AGUDELLS NUM: 37,08032 BARCELONA
BARCELONA;CENTRE CIVIC EL CARMEL;C SANTUARI NUM: 27,08032 BARCELONA
BARCELONA;CEIP CARMEL;C LLOBREGOS NUM: 154,08032 BARCELONA
BARCELONA;ESPAI JOVE BOCA NORD;C AGUDELLS NUM: 37,08032 BARCELONA
BARCELONA;CEIP CARMEL;C LLOBREGOS NUM: 154,08032 BARCELONA
BARCELONA;ESPAI JOVE BOCA NORD;C AGUDELLS NUM: 37,08032 BARCELONA
BARCELONA;CEIP TAXONERA;C FARNES NUM: 60,08032 BARCELONA
BARCELONA;CEIP CARMEL;C LLOBREGOS NUM: 154,08032 BARCELONA
BARCELONA;CEIP TAXONERA;C FARNES NUM: 60,08032 BARCELONA
BARCELONA;CENTRE CIVIC TAXONERA;C ARENYS NUM: 75,08035 BARCELONA
BARCELONA;CENTRE CIVIC EL CARMEL;C SANTUARI NUM: 27,08032 BARCELONA
BARCELONA;CENTRE CIVIC TAXONERA;C ARENYS NUM: 75,08035 BARCELONA
BARCELONA;CASAL D'AVIS PENITENTS;PG VALL D'HEBRON NUM: 76,08023 BARCELONA
BARCELONA;CENTRE CIVIC CASA GROGA;AV JORDA NUM: 25,08035 BARCELONA
BARCELONA;INSTITUT NARCIS MONTURIOL;C HARMONIA (L') NUM: 1,08035 BARCELONA
BARCELONA;CEE FOLCH CAMARASSA;C VENTURA RODRIGUEZ NUM: 16,08035 BARCELONA
BARCELONA;CEIP TAXONERA;C FARNES NUM: 60,08032 BARCELONA
BARCELONA;CEIP MARE NOSTRUM;PG VALLDAURA NUM: 12,08031 BARCELONA
BARCELONA;CASAL GENT GRAN HORTA;C FELIU I CODINA NUM: 43,08031 BARCELONA
BARCELONA;CENTRE CIVIC MATAS I RAMIS;C FELIU I CODINA NUM: 20,08031 BARCELONA
BARCELONA;CASAL GENT GRAN HORTA;C FELIU I CODINA NUM: 43,08031 BARCELONA
BARCELONA;CEIP MARE NOSTRUM;PG VALLDAURA NUM: 12,08031 BARCELONA
BARCELONA;ESCOLA FEDAC HORTA;C CAMPOAMOR NUM: 49,08031 BARCELONA
BARCELONA;CENTRE CIVIC MATAS I RAMIS;C FELIU I CODINA NUM: 20,08031 BARCELONA
BARCELONA;BIBLIOTECA CAN MARINER;C VENT NUM: 1,08031 BARCELONA
BARCELONA;CEIP TORRENT DE CAN CARABASSA;C LLOBREGOS NUM: 17,08032 BARCELONA
BARCELONA;ESPAI JOVE LES BASSES;C TEIDE NUM: 20,08031 BARCELONA
BARCELONA;ESCOLA COR DE MARIA;C CARTELLA NUM: 123,08031 BARCELONA
BARCELONA;ESPAI JOVE LES BASSES;C TEIDE NUM: 20,08031 BARCELONA
BARCELONA;CENTRE CIVIC CAN BASTE;PG FABRA I PUIG NUM: 274,08031 BARCELONA
BARCELONA;ESCOLA COR DE MARIA;C CARTELLA NUM: 123,08031 BARCELONA
BARCELONA;CENTRE CIVIC CAN BASTE;PG FABRA I PUIG NUM: 274,08031 BARCELONA
BARCELONA;IES CARRASCO I FORMIGUERA;C SANTA FE NUM: 2,08031 BARCELONA
BARCELONA;CENTRE CIVIC CAN BASTE;PG FABRA I PUIG NUM: 274,08031 BARCELONA
BARCELONA;IES BARCELONA CONGRES;C BARO D'ESPONELLA NUM: 1,08031 BARCELONA
BARCELONA;CEIP TIMBALER BRUC;C ARNAU D'OMS NUM: 4,08016 BARCELONA
BARCELONA;IES VALLDEMOSA;AV RIO DE JANEIRO NUM: 18,08016 BARCELONA
BARCELONA;CASAL CASA NOSTRA;C MALADETA NUM: 38,08016 BARCELONA
BARCELONA;IES VALLDEMOSA;AV RIO DE JANEIRO NUM: 18,08016 BARCELONA
BARCELONA;CASAL CASA NOSTRA;C MALADETA NUM: 38,08016 BARCELONA
BARCELONA;IES VALLDEMOSA;AV RIO DE JANEIRO NUM: 18,08016 BARCELONA
BARCELONA;IES FRANCESC FLOS I CALCAT;AV RIO DE JANEIRO NUM: 92,08016 BARCELONA
BARCELONA;CEIP VICTOR CATALA;C FONT DE CANYELLES (DE LA) NUM: 35,08016 BARCELONA
BARCELONA;PARC TECNOLÒGIC BARCELONA NORD;C MARIE CURIE NUM: 8,08042 BARCELONA
BARCELONA;CASAL CASA NOSTRA;C MALADETA NUM: 38,08016 BARCELONA
BARCELONA;CEIP CALDERON BARCA;C ORDUÑA NUM: 5,08031 BARCELONA
BARCELONA;CEIP EL TURO;C PEÑALARA NUM: 19,08031 BARCELONA
BARCELONA;ESPAI JOVE LES BASSES;C TEIDE NUM: 20,08031 BARCELONA
BARCELONA;CEE JOSEP PLA;PG FABRA I PUIG NUM: 406,08031 BARCELONA
BARCELONA;PARC TECNOLÒGIC BARCELONA NORD;C MARIE CURIE NUM: 8,08042 BARCELONA
BARCELONA;CASAL GUINEUETA CENTRE;C GUINEUETA NUM: 19,08042 BARCELONA
BARCELONA;CEIP AGORA;C MARNE NUM: 2,08042 BARCELONA
BARCELONA;PARC TECNOLÒGIC BARCELONA NORD;C MARIE CURIE NUM: 8,08042 BARCELONA
BARCELONA;CEIP AGORA;C MARNE NUM: 2,08042 BARCELONA
BARCELONA;IES GUINEUETA;C ARTESANIA (DE L') NUM: 55,08042 BARCELONA
BARCELONA;CASAL GUINEUETA CENTRE;C GUINEUETA NUM: 19,08042 BARCELONA
BARCELONA;CEIP TOMAS MORO;C MIGUEL HERNANDEZ NUM: 11,08042 BARCELONA
BARCELONA;INSTITUT ESCOLA TURÓ DE ROQUETES;C ALCANTARA NUM: 22,08042 BARCELONA
BARCELONA;CEIP ANTAVIANA;C NOU BARRIS NUM: 12,08042 BARCELONA
BARCELONA;CASAL GENT GRAN ROQUETES;C GARIGLIANO NUM: 58,08042 BARCELONA
BARCELONA;INSTITUT ESCOLA TURÓ DE ROQUETES;C ALCANTARA NUM: 22,08042 BARCELONA
BARCELONA;BIBLIOTECA LES ROQUETES;VIA FAVENCIA NUM: 288 B,08042 BARCELONA
BARCELONA;INSTITUT ESCOLA TURÓ DE ROQUETES;C ALCANTARA NUM: 22,08042 BARCELONA
BARCELONA;BIBLIOTECA LES ROQUETES;VIA FAVENCIA NUM: 288 B,08042 BARCELONA
BARCELONA;CEIP AIGUAMARINA;C CASALS I CUBERO NUM: 241,08042 BARCELONA
BARCELONA;IES GUINEUETA;C ARTESANIA (DE L') NUM: 55,08042 BARCELONA
BARCELONA;CEIP AIGUAMARINA;C CASALS I CUBERO NUM: 241,08042 BARCELONA
BARCELONA;CEIP VICTOR CATALA;C FONT DE CANYELLES (DE LA) NUM: 35,08016 BARCELONA
BARCELONA;IES SANT ANDREU;C BADOSA NUM: 10,08016 BARCELONA
